id,amount,rent,label,image,deed_type,scoring,last_score_update
1,5900,691.44,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image114.jpg,PARTICIPATIVE,1,2023-09-13
2,4900,712.35,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image12.jpg,APARTMENT,4,2023-09-18
3,6400,800.91,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image121.jpg,APARTMENT,4,2023-09-16
4,7900,1109.01,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image74.jpg,APARTMENT,4,2023-09-7
5,6700,907.83,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image6.jpg,APARTMENT,4,2023-09-27
6,4700,504.71,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image43.jpg,APARTMENT,4,2023-09-13
7,4400,590.04,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image86.jpg,APARTMENT,4,2023-09-2
8,5400,642.17,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image13.jpg,PARTICIPATIVE,1,2023-09-15
9,7800,1168.88,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image193.jpg,APARTMENT,4,2023-09-25
10,1200,136.04,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image221.jpg,PARTICIPATIVE,1,2023-09-30
11,6400,739.67,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image30.jpg,APARTMENT,4,2023-09-4
12,4800,505.32,Joignez-vous à notre Communauté d'Investisseurs : Investissement Participatif dans des Quartiers en Pleine Expansion !,image115.jpg,PARTICIPATIVE,1,2023-09-16
13,2700,369.13,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image173.jpg,PARTICIPATIVE,1,2023-09-26
14,5000,713.07,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image161.jpg,APARTMENT,4,2023-09-10
15,4200,448.98,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image73.jpg,PARTICIPATIVE,1,2023-09-22
16,8400,1107.18,Faites Croître votre Portefeuille : Investissement Participatif dans des Biens Immobiliers à Fort Potentiel !,image54.jpg,PARTICIPATIVE,1,2023-09-23
17,7300,737.09,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image163.jpg,PARTICIPATIVE,1,2023-09-10
18,4800,533.3,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image76.jpg,PARTICIPATIVE,1,2023-09-24
19,8000,989.99,Rentabilité Assurée : Investissement Collectif dans des Propriétés Haut de Gamme !,image148.jpg,PARTICIPATIVE,1,2023-09-20
20,5600,593.11,Participez à notre Aventure Immobilière : Rendement Élevé avec l'Investissement Participatif !,image173.jpg,APARTMENT,4,2023-09-18
21,2500,265.86,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image220.jpg,PARTICIPATIVE,1,2023-09-9
22,7100,1060.85,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image121.jpg,PARTICIPATIVE,1,2023-09-19
23,5400,721.55,Devenez Acteur de l'Immobilier : Investissement Participatif Rentable et Éthique !,image100.jpg,APARTMENT,4,2023-09-15
24,6800,875.17,Investissement Immobilier Ouvert à Tous : Réalisez vos Projets avec notre Plateforme Participative !,image206.jpg,APARTMENT,4,2023-09-19
25,7100,887.43,Multipliez vos Chances de Succès : Investissement Collectif dans un Portefeuille Immobilier Diversifié !,image77.jpg,PARTICIPATIVE,1,2023-09-30
26,5200,724.69,Devenez Copropriétaire d'un Bijou Immobilier : Investissement Participatif Exceptionnel !,image127.jpg,APARTMENT,4,2023-09-27
